type,title,director,country,date_added,release_year,rating,duration,listed_in,main_country,main_genre
Movie,A Cinderella Story,Mark Rosman,United States,2021-09-01,2004,PG,95 min,"Children & Family Movies, Comedies",United States,Children & Family Movies
Movie,An Unfinished Life,Lasse Hallström,Germany,2021-09-01,2005,PG-13,108 min,Dramas,Germany,Dramas
Movie,Blade Runner: The Final Cut,Ridley Scott,United States,2021-09-01,1982,R,117 min,"Action & Adventure, Classic Movies, Cult Movies",United States,Action & Adventure
Movie,Dad Stop Embarrassing Me - The Afterparty,Not Given,Pakistan,2021-04-16,2021,TV-14,37 min,Comedies,Pakistan,Comedies
Movie,Chappie,Neill Blomkamp,South Africa,2021-09-01,2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy",South Africa,Action & Adventure
Movie,Janoskians: Untold and Untrue,Brett Weiner,United States,2021-09-01,2016,TV-MA,88 min,Comedies,United States,Comedies
TV Show,Dancing Angels,Not Given,Pakistan,2021-04-15,2016,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Pakistan,International TV Shows
TV Show,Don't be the First one,Not Given,Pakistan,2021-04-11,2021,TV-14,1 Season,"International TV Shows, Reality TV",Pakistan,International TV Shows
TV Show,The Wedding Coach,Not Given,Pakistan,2021-04-07,2021,TV-MA,1 Season,"Reality TV, Romantic TV Shows",Pakistan,Reality TV
TV Show,This Is a Robbery: The World's Biggest Art Heist,Not Given,Pakistan,2021-04-07,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, TV Mysteries",Pakistan,Crime TV Shows
TV Show,Glimpses of a Future,Not Given,Pakistan,2021-04-01,2020,TV-PG,1 Season,"Docuseries, International TV Shows",Pakistan,Docuseries
TV Show,Alien TV,Not Given,Pakistan,2021-03-19,2021,TV-Y7,2 Seasons,"Kids' TV, TV Comedies",Pakistan,Kids' TV
TV Show,Last Chance U: Basketball,Not Given,Pakistan,2021-03-10,2021,TV-MA,1 Season,Docuseries,Pakistan,Docuseries
TV Show,Marriage or Mortgage,Not Given,Pakistan,2021-03-10,2021,TV-G,1 Season,"Reality TV, Romantic TV Shows",Pakistan,Reality TV
TV Show,Pokémon Journeys: The Series,Not Given,Pakistan,2021-03-05,2021,TV-Y7,4 Seasons,"Anime Series, Kids' TV, TV Action & Adventure",Pakistan,Anime Series
Movie,Barbie Big City Big Dreams,Scott Pleydell-Pearce,Not Given,2021-09-01,2021,TV-Y,63 min,"Children & Family Movies, Music & Musicals",Not Given,Children & Family Movies
Movie,Clear and Present Danger,Phillip Noyce,United States,2021-09-01,1994,PG-13,142 min,"Action & Adventure, Dramas",United States,Action & Adventure
Movie,Cliffhanger,Renny Harlin,United States,2021-09-01,1993,R,113 min,Action & Adventure,United States,Action & Adventure
Movie,Cold Mountain,Anthony Minghella,United States,2021-09-01,2003,R,154 min,"Dramas, Romantic Movies",United States,Dramas
Movie,Crocodile Dundee in Los Angeles,Simon Wincer,Australia,2021-09-01,2001,PG,95 min,"Action & Adventure, Comedies",Australia,Action & Adventure
Movie,Dear John,Lasse Hallström,United States,2021-09-01,2010,PG-13,108 min,"Dramas, Romantic Movies",United States,Dramas
Movie,Do the Right Thing,Spike Lee,United States,2021-09-01,1989,R,120 min,"Classic Movies, Comedies, Dramas",United States,Classic Movies
Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,Argentina,2021-09-01,2014,TV-MA,100 min,"Dramas, International Movies, Thrillers",Argentina,Dramas
Movie,Extraction,Steven C. Miller,United States,2021-09-01,2015,R,82 min,Action & Adventure,United States,Action & Adventure
Movie,Freedom Writers,Richard LaGravenese,Germany,2021-09-01,2007,PG-13,124 min,Dramas,Germany,Dramas
Movie,Green Lantern,Martin Campbell,United States,2021-09-01,2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",United States,Action & Adventure
Movie,House Party,Reginald Hudlin,United States,2021-09-01,1990,R,104 min,"Comedies, Cult Movies",United States,Comedies
Movie,House Party 2,"George Jackson, Doug McHenry",United States,2021-09-01,1991,R,94 min,"Comedies, Cult Movies, Music & Musicals",United States,Comedies
Movie,House Party 3,Eric Meza,United States,2021-09-01,1994,R,94 min,"Comedies, Music & Musicals",United States,Comedies
Movie,Ginny & Georgia - The Afterparty,Not Given,Pakistan,2021-02-26,2021,TV-MA,35 min,"Comedies, Dramas",Pakistan,Comedies
Movie,I Got the Hook Up,Michael Martin,United States,2021-09-01,1998,R,93 min,"Action & Adventure, Comedies",United States,Action & Adventure
Movie,In Too Deep,Michael Rymer,United States,2021-09-01,1999,R,97 min,Thrillers,United States,Thrillers
Movie,Initial D,"Andrew Lau Wai-keung, Alan Mak",China,2021-09-01,2005,TV-14,109 min,"Action & Adventure, International Movies",China,Action & Adventure
TV Show,The Last Bastion,Not Given,Pakistan,2021-02-25,2018,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",Pakistan,International TV Shows
TV Show,Thus Spoke Kishibe Rohan,Not Given,Pakistan,2021-02-18,2021,TV-MA,1 Season,"Anime Series, International TV Shows",Pakistan,Anime Series
TV Show,Korean Pork Belly Rhapsody,Not Given,Pakistan,2021-01-04,2020,TV-G,1 Season,"Docuseries, International TV Shows",Pakistan,Docuseries
Movie,Labyrinth,Jim Henson,United Kingdom,2021-09-01,1986,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies",United Kingdom,Action & Adventure
Movie,Letters to Juliet,Gary Winick,United States,2021-09-01,2010,PG,105 min,"Comedies, Dramas, Romantic Movies",United States,Comedies
Movie,Level 16,Danishka Esterhazy,Canada,2021-09-01,2018,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers",Canada,Sci-Fi & Fantasy
Movie,Love Don't Cost a Thing,Troy Byer,United States,2021-09-01,2003,PG-13,101 min,"Comedies, Romantic Movies",United States,Comedies
Movie,Love in a Puff,Pang Ho-cheung,Hong Kong,2021-09-01,2010,TV-MA,103 min,"Comedies, Dramas, International Movies",Hong Kong,Comedies
TV Show,Running Man,Not Given,Pakistan,2021-01-01,2020,TV-Y7,1 Season,"Kids' TV, TV Comedies",Pakistan,Kids' TV
Movie,Mars Attacks!,Tim Burton,United States,2021-09-01,1996,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy",United States,Comedies
Movie,Marshall,Reginald Hudlin,United States,2021-09-01,2017,PG-13,118 min,Dramas,United States,Dramas
Movie,My Boss's Daughter,David Zucker,United States,2021-09-01,2003,R,86 min,"Comedies, Romantic Movies",United States,Comedies
Movie,Mystery Men,Kinka Usher,United States,2021-09-01,1999,PG-13,121 min,"Action & Adventure, Comedies",United States,Action & Adventure
Movie,Best of Stand-Up 2020,Not Given,Pakistan,2020-12-31,2020,TV-MA,77 min,Stand-Up Comedy,Pakistan,Stand-Up Comedy
Movie,Once Upon a Time in America,Sergio Leone,Italy,2021-09-01,1984,R,229 min,"Classic Movies, Dramas",Italy,Classic Movies
Movie,Open Season 2,"Matthew O'Callaghan, Todd Wilderman",United States,2021-09-01,2008,PG,76 min,"Children & Family Movies, Comedies",United States,Children & Family Movies
Movie,Osmosis Jones,"Bobby Farrelly, Peter Farrelly",United States,2021-09-01,2001,PG,95 min,"Action & Adventure, Children & Family Movies, Comedies",United States,Action & Adventure
Movie,Poseidon,Wolfgang Petersen,United States,2021-09-01,2006,PG-13,98 min,"Action & Adventure, Dramas",United States,Action & Adventure
TV Show,Transformers: War for Cybertron: Earthrise,Not Given,Pakistan,2020-12-30,2020,TV-Y7,1 Season,Anime Series,Pakistan,Anime Series
TV Show,Manhunt: Deadly Games,Not Given,Pakistan,2020-12-07,2020,TV-14,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries",Pakistan,Crime TV Shows
TV Show,The Great British Baking Show: Holidays,Not Given,Pakistan,2020-12-04,2020,TV-MA,3 Seasons,"British TV Shows, Reality TV",Pakistan,British TV Shows
TV Show,Heart & Soul,Not Given,Pakistan,2020-11-20,2019,TV-14,1 Season,"International TV Shows, TV Dramas",Pakistan,International TV Shows
Movie,Ya no estoy aquí: Una conversación entre Guillermo del Toro y Alfonso Cuarón,Not Given,Pakistan,2020-11-03,2020,TV-PG,15 min,Documentaries,Pakistan,Documentaries
TV Show,Kongsuni and Friends,Not Given,Pakistan,2020-10-30,2020,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",Pakistan,Kids' TV
TV Show,Pat a Pat Como,Not Given,Pakistan,2020-10-03,2016,TV-Y,1 Season,Kids' TV,Pakistan,Kids' TV
TV Show,Qurious Como,Not Given,Pakistan,2020-10-03,2017,TV-Y,1 Season,Kids' TV,Pakistan,Kids' TV
TV Show,Find Yourself,Not Given,Pakistan,2020-01-29,2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Pakistan,International TV Shows
TV Show,Journey of an African Colony,Not Given,Pakistan,2020-10-01,2018,TV-MA,1 Season,"Docuseries, International TV Shows",Pakistan,Docuseries
TV Show,Mighty Little Bheem,Not Given,Pakistan,2020-09-25,2020,TV-Y,3 Seasons,"Kids' TV, TV Comedies",Pakistan,Kids' TV
Movie,Rhyme & Reason,Peter Spirer,United States,2021-09-01,1997,R,89 min,"Documentaries, Music & Musicals",United States,Documentaries
Movie,Same Kind of Different as Me,Michael Carney,United States,2021-09-01,2017,PG-13,120 min,"Dramas, Faith & Spirituality",United States,Dramas
Movie,School of Rock,Richard Linklater,United States,2021-09-01,2003,PG-13,110 min,"Comedies, Music & Musicals",United States,Comedies
Movie,Snervous Tyler Oakley,Amy Rice,United States,2021-09-01,2015,PG-13,83 min,"Documentaries, LGBTQ Movies",United States,Documentaries
Movie,Tears of the Sun,Antoine Fuqua,United States,2021-09-01,2003,R,121 min,"Action & Adventure, Dramas",United States,Action & Adventure
Movie,The Blue Lagoon,Randal Kleiser,United States,2021-09-01,1980,R,105 min,"Dramas, Romantic Movies",United States,Dramas
Movie,The Golden Child,Michael Ritchie,United States,2021-09-01,1986,PG-13,94 min,"Action & Adventure, Comedies",United States,Action & Adventure
Movie,The Guns of Navarone,J. Lee Thompson,United Kingdom,2021-09-01,1961,TV-14,156 min,"Action & Adventure, Classic Movies",United Kingdom,Action & Adventure
Movie,The Interview,"Evan Goldberg, Seth Rogen",United States,2021-09-01,2014,R,112 min,"Action & Adventure, Comedies",United States,Action & Adventure
Movie,The Nutty Professor,Tom Shadyac,United States,2021-09-01,1996,PG-13,95 min,"Comedies, Romantic Movies",United States,Comedies
Movie,The Nutty Professor II: The Klumps,Peter Segal,United States,2021-09-01,2000,PG-13,107 min,"Comedies, Romantic Movies",United States,Comedies
Movie,Welcome Home Roscoe Jenkins,Malcolm D. Lee,United States,2021-09-01,2008,PG-13,114 min,Comedies,United States,Comedies
Movie,In the Line of Fire,Wolfgang Petersen,United States,2021-08-31,1993,R,129 min,"Action & Adventure, Classic Movies",United States,Action & Adventure
Movie,Untold: Crime & Penalties,"Chapman Way, Maclain Way",United States,2021-08-31,2021,TV-MA,86 min,"Documentaries, Sports Movies",United States,Documentaries
Movie,Zulu Man in Japan,Not Given,Pakistan,2020-09-25,2019,TV-MA,44 min,"Documentaries, International Movies, Music & Musicals",Pakistan,Documentaries
TV Show,Fukrey Boyzzz,Not Given,Pakistan,2020-09-19,2020,TV-Y,1 Season,"Kids' TV, TV Comedies",Pakistan,Kids' TV
Movie,2 Alone in Paris,"Ramzy Bedia, Éric Judor",France,2021-08-28,2008,TV-MA,97 min,"Comedies, International Movies",France,Comedies
TV Show,Transformers: Cyberverse,Not Given,Pakistan,2020-09-07,2020,TV-Y7,2 Seasons,Kids' TV,Pakistan,Kids' TV
TV Show,The Witcher: A Look Inside the Episodes,Not Given,Pakistan,2020-09-02,2020,TV-MA,1 Season,"Docuseries, TV Sci-Fi & Fantasy",Pakistan,Docuseries
TV Show,Dérè: An African Tale,Not Given,Pakistan,2020-08-15,2016,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Pakistan,International TV Shows
TV Show,Street Food: Latin America,Not Given,Pakistan,2020-07-21,2020,TV-PG,1 Season,"Docuseries, Spanish-Language TV Shows",Pakistan,Docuseries
Movie,Little Singham: Legend of Dugabakka,Not Given,Pakistan,2020-07-15,2020,TV-Y7,68 min,"Children & Family Movies, Comedies",Pakistan,Children & Family Movies
Movie,Seven (Telugu),Not Given,Pakistan,2020-06-26,2019,TV-14,116 min,"Dramas, International Movies, Romantic Movies",Pakistan,Dramas
Movie,Thimmarusu,Sharan Koppisetty,India,2021-08-28,2021,TV-14,125 min,"Dramas, International Movies",India,Dramas
Movie,Wind River,Taylor Sheridan,United Kingdom,2021-08-28,2017,R,107 min,"Dramas, Independent Movies",United Kingdom,Dramas
Movie,C Kkompany,Sachin Yardi,India,2021-08-27,2008,TV-14,127 min,"Action & Adventure, Comedies, International Movies",India,Action & Adventure
Movie,He's All That,Mark Waters,United States,2021-08-27,2021,TV-14,92 min,"Comedies, Romantic Movies",United States,Comedies
TV Show,Dating Around,Not Given,Pakistan,2020-06-12,2020,TV-MA,2 Seasons,"Reality TV, Romantic TV Shows",Pakistan,Reality TV
Movie,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,India,2021-08-27,2008,TV-14,128 min,"Comedies, Dramas, International Movies",India,Comedies
TV Show,First and Last,Not Given,Pakistan,2018-09-07,2018,TV-MA,1 Season,Docuseries,Pakistan,Docuseries
TV Show,King of Boys: The Return of the King,Kemi Adetiba,Nigeria,2021-08-27,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Nigeria,Crime TV Shows
Movie,Koi Aap Sa,Partho Mitra,India,2021-08-27,2006,TV-14,135 min,"Comedies, Dramas, International Movies",India,Comedies
Movie,Krishna Cottage,Santram Varma,India,2021-08-27,2004,TV-14,124 min,"Action & Adventure, Horror Movies, International Movies",India,Action & Adventure
Movie,Kucch To Hai,"Anil V. Kumar, Anurag Basu",India,2021-08-27,2003,TV-14,136 min,"Dramas, International Movies, Thrillers",India,Dramas
Movie,Kyaa Kool Hai Hum,Sangeeth Sivan,India,2021-08-27,2005,TV-MA,165 min,"Comedies, International Movies, Music & Musicals",India,Comedies
Movie,Kyaa Kool Hain Hum 3,Umesh Ghadge,India,2021-08-27,2016,TV-MA,124 min,"Comedies, International Movies",India,Comedies
Movie,Kyaa Super Kool Hain Hum,Sachin Yardi,India,2021-08-27,2012,TV-MA,136 min,"Comedies, International Movies",India,Comedies
Movie,Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan,India,2021-08-27,2001,TV-14,150 min,"Comedies, International Movies, Sci-Fi & Fantasy",India,Comedies
Movie,"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,India,2021-08-27,2010,TV-MA,112 min,"Dramas, Independent Movies, International Movies",India,Dramas
Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Apoorva Lakhia,India,2021-08-27,2008,TV-14,119 min,"Action & Adventure, International Movies, Music & Musicals",India,Action & Adventure
Movie,Once Upon a Time in Mumbaai,Milan Luthria,India,2021-08-27,2010,TV-14,133 min,"Dramas, International Movies, Music & Musicals",India,Dramas
TV Show,Especial 20 años Fútbol de Primera,Not Given,Pakistan,2020-05-20,2020,TV-14,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",Pakistan,Docuseries
TV Show,Hangar 1: The UFO Files,Not Given,Pakistan,2020-05-02,2015,TV-PG,1 Season,Docuseries,Pakistan,Docuseries
TV Show,Hoarders,Not Given,Pakistan,2020-05-02,2020,TV-PG,1 Season,Reality TV,Pakistan,Reality TV
TV Show,The Universe: Ancient Mysteries Solved,Not Given,Pakistan,2020-05-02,2015,TV-PG,1 Season,"Docuseries, Science & Nature TV",Pakistan,Docuseries
TV Show,دفعة القاهرة,Not Given,Pakistan,2020-04-25,2019,TV-14,1 Season,"International TV Shows, TV Dramas",Pakistan,International TV Shows
TV Show,DreamWorks Spooky Stories: Volume 2,Not Given,Pakistan,2020-04-24,2011,TV-PG,1 Season,"Kids' TV, TV Comedies",Pakistan,Kids' TV
Movie,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,India,2021-08-27,2013,TV-14,142 min,"Dramas, International Movies, Music & Musicals",India,Dramas
Movie,Ragini MMS,Pawan Kripalani,India,2021-08-27,2011,TV-MA,93 min,"Horror Movies, International Movies",India,Horror Movies
Movie,Ragini MMS 2,Bhushan Patel,India,2021-08-27,2014,TV-MA,113 min,"Horror Movies, International Movies",India,Horror Movies
TV Show,Clickbait,Brad Anderson,United States,2021-08-25,2021,TV-MA,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries",United States,Crime TV Shows
TV Show,The Circle France,Not Given,Pakistan,2020-04-09,2020,TV-MA,1 Season,"International TV Shows, Reality TV",Pakistan,International TV Shows
Movie,Shootout at Lokhandwala,Apoorva Lakhia,India,2021-08-27,2007,TV-MA,116 min,"Action & Adventure, Dramas, International Movies",India,Action & Adventure
Movie,Shor In the City,"Raj Nidimoru, Krishna D.K.",India,2021-08-27,2011,TV-14,106 min,"Comedies, Dramas, Independent Movies",India,Comedies
Movie,The Dirty Picture,Milan Luthria,India,2021-08-27,2011,TV-14,145 min,"Comedies, Dramas, International Movies",India,Comedies
TV Show,Pokémon the Series,Not Given,Pakistan,2020-04-01,2019,TV-Y7,3 Seasons,"Anime Series, Kids' TV",Pakistan,Anime Series
TV Show,Wassup Man GO!,Not Given,Pakistan,2020-03-27,2020,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Reality TV",Pakistan,International TV Shows
TV Show,Barbie Dreamhouse Adventures: Go Team Roberts,Not Given,Pakistan,2020-03-21,2020,TV-Y,2 Seasons,Kids' TV,Pakistan,Kids' TV
TV Show,Archibald's Next Big Thing,Not Given,Pakistan,2020-03-20,2020,TV-Y7,2 Seasons,"Kids' TV, TV Comedies",Pakistan,Kids' TV
TV Show,Calico Critters Mini Episodes Clover,Not Given,Pakistan,2020-03-01,2020,TV-Y,1 Season,Kids' TV,Pakistan,Kids' TV
TV Show,Passion. Panache. Pep,Not Given,Pakistan,2020-02-21,2020,TV-G,1 Season,"International TV Shows, Reality TV",Pakistan,International TV Shows
Movie,Really Love,Angel Kristi Williams,United States,2021-08-25,2020,TV-MA,95 min,"Dramas, Independent Movies, Romantic Movies",United States,Dramas
TV Show,My Holo Love,Not Given,Pakistan,2020-02-07,2020,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",Pakistan,International TV Shows
TV Show,Rise of Empires: Ottoman,Not Given,Pakistan,2020-01-24,2020,TV-MA,1 Season,Docuseries,Pakistan,Docuseries
TV Show,Chhota Bheem Kung Fu Dhamaka Series,Not Given,Pakistan,2020-01-01,2019,TV-Y7,1 Season,Kids' TV,Pakistan,Kids' TV
TV Show,Pucca: Love Recipe,Not Given,Pakistan,2019-12-31,2018,TV-Y7,1 Season,"Kids' TV, Korean TV Shows",Pakistan,Kids' TV
TV Show,The Degenerates,Not Given,Pakistan,2019-12-31,2019,TV-MA,2 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies",Pakistan,Stand-Up Comedy & Talk Shows
TV Show,Space Jungle,Not Given,Pakistan,2019-12-01,2016,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows, TV Comedies",Pakistan,Kids' TV
TV Show,The Charming Stepmom,Not Given,Pakistan,2019-11-29,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Pakistan,International TV Shows
Movie,ChuChuTV Surprise Eggs Learning Videos (Hindi),Not Given,Pakistan,2019-10-18,2019,TV-Y,34 min,Children & Family Movies,Pakistan,Children & Family Movies
TV Show,Westside Story,Not Given,Pakistan,2019-11-15,2003,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Action & Adventure",Pakistan,International TV Shows
TV Show,Happy Jail,Not Given,Pakistan,2019-08-14,2019,TV-MA,1 Season,"Crime TV Shows, Docuseries",Pakistan,Crime TV Shows
TV Show,Sleepless Society: Bedtime Wishes,Not Given,Pakistan,2019-10-31,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Pakistan,Crime TV Shows
